Season,Episode,Time_Stamp,Dialogue,NRC_Sentiment,AFINN_Sentiment,AFINN_Sentiment_Score,BING_Sentiment,Segment,HighControversial,MediumControversial,LowControversial
1,1,00:07:30,"Okay, who's hungry?","anticipation,negative",Neutral,0,Neutral,1,0,0,0
1,1,00:07:32,Jeez. How the hell am I gonna break this to Lois?,"anger,disgust,fear,negative,sadness,surprise",Negative,-4,Negative,1,0,0,0
1,1,00:07:35,"If she finds out I got fired for drinking, she's gonna blame me!","anger,disgust,negative",Negative,-4,Negative,1,0,0,0
1,1,00:07:38,Lie to her. It's okay to lie to women. They're not people like us.,"anger,disgust,negative,sadness",Positive,2,Negative,1,0,0,0
1,1,00:07:42,"I don't know. Hey, where's the other guy?",Neutral,Neutral,0,Neutral,1,0,0,12.5
1,1,00:07:46,"Come on, you bastard! I'm late for work.","disgust,negative,sadness",Negative,-5,Negative,1,0,0,0
1,1,00:07:48,This is perfect!,"anticipation,joy,positive,trust",Positive,3,Positive,1,0,0,0
1,1,00:07:50,"Look, I don't want your mom to worry, all right?","anticipation,fear,negative,sadness",Negative,-2,Negative,1,0,0,0
1,1,00:07:55,"When she worries, she says, I told you so and: Stop doing that. I'm asleep. So I'm just gonna tell a little lie, okay?","anger,disgust,negative,sadness",Negative,-1,Negative,1,0,0,0
1,1,00:07:59,Not a word to your mom about me getting canned.,"positive,trust",Neutral,0,Neutral,1,0,0,10
1,1,00:08:01,"What's that, Peter?",Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:08:03,Nothing. The lost-my-job smells great.,Neutral,Neutral,0,Negative,1,0,0,0
1,1,00:08:03,What?,Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:08:06,"Meg, honey, can you pass the fired-my-ass-for-negligence?",positive,Negative,-6,Negative,1,0,0,14.29
1,1,00:08:09,"Peter, are you feeling okay?","anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust",Positive,1,Neutral,1,0,0,20
1,1,00:08:11,I feel great! I haven't got a job in the world.,positive,Positive,3,Positive,1,18.18,0,9.09
1,1,00:08:14,"All right, then let's eat.",positive,Neutral,0,Positive,1,0,0,0
1,1,00:08:15,"I know you all hate eggplant, but...","anger,disgust,fear,negative,sadness",Negative,-3,Negative,1,0,0,0
1,1,00:08:19,What on earth was that?,Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:08:27,What the deuce are you staring at? It's tuna fish and nothing else.,negative,Neutral,0,Neutral,1,0,0,0
1,1,00:08:32,How's your job search going?,positive,Neutral,0,Neutral,1,20,0,20
1,1,00:08:34,"It sucks, Brian. I've already been through two jobs this week.",Neutral,Negative,-3,Negative,1,9.09,0,9.09
1,1,00:08:37,I got fired off of that commercial.,Neutral,Negative,-2,Neutral,1,0,0,0
1,1,00:08:39,Try it again. I'm caca for Cocoa Puffs.,Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:08:41,"No, damn it! Take 26!","anger,disgust,negative",Negative,-5,Negative,1,0,0,0
1,1,00:08:44,Then I had that job as the sneeze guard for that restaurant's salad bar.,"disgust,fear,negative,positive,surprise,trust",Neutral,0,Neutral,1,7.14,0,0
1,1,00:08:50,"Take it outside, lady.",Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:08:51,I thought I could win money in that talent show.,"anger,anticipation,joy,positive,surprise,trust",Positive,4,Positive,1,10,0,10
1,1,00:08:54,And the prize goes to The von Trapp Family Singers!,Neutral,Neutral,0,Positive,1,0,10,0
1,1,00:08:57,That is bull...,Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:09:03,"Peter, I know it's a dangerous precedent but you might want to tell Lois the truth.","fear,negative,positive,trust",Positive,1,Negative,1,0,0,0
1,1,00:09:05,What? That I can't provide for my family? That she's always right?,"positive,trust",Neutral,0,Positive,1,0,8.33,0
1,1,00:09:09,That I didn't stand up to a tank in Tiananmen Square?,Neutral,Neutral,0,Negative,1,0,0,9.09
1,1,00:09:16,Screw this! I just came over to buy some fireworks!,Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:09:19,You can't keep lying to her about losing your job.,"anger,disgust,negative,positive,sadness",Negative,-3,Negative,1,10,0,0
